gap,gap_width,gap_length,finger_width,rect_breadth,s_avg
5.0,1.0,5.0,15.0,50.0,-5.96896660190083
5.0,1.2,5.0,15.0,50.0,-5.88745685525849
5.0,1.4,5.0,15.0,50.0,-5.94695666178847
5.0,1.5,1.0,15.0,50.0,-5.07548812397367
5.0,1.5,2.0,15.0,50.0,-5.3701118956416
5.0,1.5,3.0,15.0,50.0,-5.10424679840376
5.0,1.5,4.0,15.0,50.0,-3.97672249822884
5.0,1.5,5.0,15.0,50.0,-5.71804243034904
5.0,1.5,6.0,15.0,50.0,-5.9276056329721
5.0,1.5,7.0,15.0,50.0,-6.12939670399917
5.0,1.5,8.0,15.0,50.0,-4.53617013842161
5.0,1.5,9.0,15.0,50.0,-4.22364422506112
5.0,1.5,10.0,15.0,50.0,-6.27649845550753
5.0,1.5,11.0,15.0,50.0,-6.42921062333597
5.0,1.5,12.0,15.0,50.0,-6.45447586710674
5.0,1.5,13.0,15.0,50.0,-6.53755122349513
5.0,1.5,14.0,15.0,50.0,-6.54318932676226
5.0,1.5,15.0,15.0,50.0,-6.56098437049186
5.0,1.6,5.0,15.0,50.0,-5.63826784367411
5.0,1.8,5.0,15.0,50.0,-5.29600949782855
5.0,2.0,5.0,15.0,50.0,-5.64612048969758
5.0,2.2,5.0,15.0,50.0,-5.71040876350743
5.0,2.4,5.0,15.0,50.0,-5.45627112085397
5.0,2.5,1.0,15.0,50.0,-5.18520068086324
5.0,2.5,2.0,15.0,50.0,-5.08990198084304
5.0,2.5,3.0,15.0,50.0,-5.41521811626884
5.0,2.5,4.0,15.0,50.0,-5.46528402339725
5.0,2.5,5.0,15.0,50.0,-5.9733273551622
5.0,2.5,6.0,15.0,50.0,-5.91636343182223
5.0,2.5,7.0,15.0,50.0,-6.15580199261103
5.0,2.5,8.0,15.0,50.0,-5.99798102439467
5.0,2.5,9.0,15.0,50.0,-5.96192782992649
5.0,2.5,10.0,15.0,50.0,-6.26410559405445
5.0,2.5,11.0,15.0,50.0,-6.02791694376234
5.0,2.5,12.0,15.0,50.0,-5.85444596039725
5.0,2.5,13.0,15.0,50.0,-6.32344746213687
5.0,2.5,14.0,15.0,50.0,-6.43311010699235
5.0,2.5,15.0,15.0,50.0,-5.88477814305209
5.0,3.0,5.0,15.0,50.0,-5.41902256062798
5.0,3.5,5.0,15.0,50.0,-5.38631011050932
5.0,4.0,5.0,15.0,50.0,-5.50633168539415
5.0,4.5,5.0,15.0,50.0,-5.47430814944834
5.0,4.7,5.0,15.0,50.0,-5.73952398781724
5.0,4.9,5.0,15.0,50.0,-5.34809210065521
5.0,5.0,5.0,15.0,50.0,-4.5206096280427
5.0,5.0,1.0,15.0,50.0,-4.23990760523137
5.0,5.0,2.0,15.0,50.0,-5.47685525498649
5.0,5.0,2.5,15.0,50.0,-5.69484744566065
5.0,5.0,3.0,15.0,50.0,-5.35984782345128
5.0,5.0,4.0,15.0,50.0,-5.53210468479691
5.0,5.0,5.0,15.0,50.0,-6.00611373133899
5.0,5.0,6.0,15.0,50.0,-6.03606034967704
5.0,5.0,7.0,15.0,50.0,-5.90947038620688
5.0,5.0,7.5,15.0,50.0,-6.21281821310281
5.0,5.0,8.0,15.0,50.0,-5.72703851175605
5.0,5.0,9.0,15.0,50.0,-6.31456244354879
5.0,5.0,10.0,15.0,50.0,-6.20725284293603
5.0,5.0,11.0,15.0,50.0,-6.69367078736526
5.0,5.0,12.0,15.0,50.0,-6.51872151446297
