freq,gap,gap_width,gap_length,finger_width,rect_breadth,s
250.0,5.0,1.0,5.0,15.0,50.0,-4.56653899470917
250.0,5.0,1.2,5.0,15.0,50.0,-4.60883171667587
250.0,5.0,1.4,5.0,15.0,50.0,-4.59100280368259
250.0,5.0,1.5,1.0,15.0,50.0,-4.33532593592139
250.0,5.0,1.5,2.0,15.0,50.0,-4.57380957551554
250.0,5.0,1.5,3.0,15.0,50.0,-4.90307823348853
250.0,5.0,1.5,4.0,15.0,50.0,-4.26190379843977
250.0,5.0,1.5,5.0,15.0,50.0,-4.74281006814029
250.0,5.0,1.5,6.0,15.0,50.0,-4.62368249692387
250.0,5.0,1.5,7.0,15.0,50.0,-4.52772690572877
250.0,5.0,1.5,8.0,15.0,50.0,-4.81184150697324
250.0,5.0,1.5,9.0,15.0,50.0,-4.72587148262964
250.0,5.0,1.5,10.0,15.0,50.0,-4.38790585723098
250.0,5.0,1.5,11.0,15.0,50.0,-4.22011375726605
250.0,5.0,1.5,12.0,15.0,50.0,-4.25154185891793
250.0,5.0,1.5,13.0,15.0,50.0,-4.10028928810792
250.0,5.0,1.5,14.0,15.0,50.0,-4.08045315052634
250.0,5.0,1.5,15.0,15.0,50.0,-4.0850155438253
250.0,5.0,1.6,5.0,15.0,50.0,-4.79050614498433
250.0,5.0,1.8,5.0,15.0,50.0,-5.07651757159976
250.0,5.0,2.0,5.0,15.0,50.0,-4.78872763011504
250.0,5.0,2.2,5.0,15.0,50.0,-4.77632782843446
250.0,5.0,2.4,5.0,15.0,50.0,-4.97893179783932
250.0,5.0,2.5,1.0,15.0,50.0,-4.5368574920101
250.0,5.0,2.5,2.0,15.0,50.0,-4.69516481640278
250.0,5.0,2.5,3.0,15.0,50.0,-4.82741036115397
250.0,5.0,2.5,4.0,15.0,50.0,-4.77071426514372
250.0,5.0,2.5,5.0,15.0,50.0,-4.60097595581845
250.0,5.0,2.5,6.0,15.0,50.0,-4.62751992160369
250.0,5.0,2.5,7.0,15.0,50.0,-4.46774664631696
250.0,5.0,2.5,8.0,15.0,50.0,-4.53622712476145
250.0,5.0,2.5,9.0,15.0,50.0,-4.47029292464288
250.0,5.0,2.5,10.0,15.0,50.0,-4.27675356005104
250.0,5.0,2.5,11.0,15.0,50.0,-4.36429417820452
250.0,5.0,2.5,12.0,15.0,50.0,-4.47396499058808
250.0,5.0,2.5,13.0,15.0,50.0,-4.1067320885512
250.0,5.0,2.5,14.0,15.0,50.0,-3.91212170480961
250.0,5.0,2.5,15.0,15.0,50.0,-4.28905894205633
250.0,5.0,3.0,5.0,15.0,50.0,-4.98240882824794
250.0,5.0,3.5,5.0,15.0,50.0,-4.96511671153699
250.0,5.0,4.0,5.0,15.0,50.0,-4.85947350381693
250.0,5.0,4.5,5.0,15.0,50.0,-5.02063697884989
250.0,5.0,4.7,5.0,15.0,50.0,-4.70748638927085
250.0,5.0,4.9,5.0,15.0,50.0,-5.06722168748766
250.0,5.0,5.0,5.0,15.0,50.0,-5.90757554304171
250.0,5.0,5.0,1.0,15.0,50.0,-4.03635980688911
250.0,5.0,5.0,2.0,15.0,50.0,-4.7463730252086
250.0,5.0,5.0,2.5,15.0,50.0,-4.67454707338311
250.0,5.0,5.0,3.0,15.0,50.0,-4.98374728073387
250.0,5.0,5.0,4.0,15.0,50.0,-4.81772756179521
250.0,5.0,5.0,5.0,15.0,50.0,-4.53481000755347
250.0,5.0,5.0,6.0,15.0,50.0,-4.46863944881613
250.0,5.0,5.0,7.0,15.0,50.0,-4.44308350652384
250.0,5.0,5.0,7.5,15.0,50.0,-4.33379407185585
250.0,5.0,5.0,8.0,15.0,50.0,-4.59295663420233
250.0,5.0,5.0,9.0,15.0,50.0,-4.05386782720667
250.0,5.0,5.0,10.0,15.0,50.0,-3.99277415283613
250.0,5.0,5.0,11.0,15.0,50.0,-3.73163980020879
250.0,5.0,5.0,12.0,15.0,50.0,-3.7604720796185
250.0,5.0,5.0,13.0,15.0,50.0,-3.37248676034115
250.0,5.0,5.0,14.0,15.0,50.0,-3.24293905553695
250.0,5.0,5.1,5.0,15.0,50.0,-4.75773072121509
250.0,5.0,5.3,1.0,15.0,50.0,-4.10875996105019
250.0,5.0,5.3,2.0,15.0,50.0,-4.70572110448438
250.0,5.0,5.3,3.0,15.0,50.0,-4.82392319521189
250.0,5.0,5.3,4.0,15.0,50.0,-4.86224281952936
250.0,5.0,5.3,5.0,15.0,50.0,-4.57474278595067
250.0,5.0,5.3,6.0,15.0,50.0,-4.31670110560169
250.0,5.0,5.3,7.0,15.0,50.0,-4.43507230027608
250.0,5.0,5.3,8.0,15.0,50.0,-4.06280287931037
250.0,5.0,5.3,9.0,15.0,50.0,-3.98736283718175
250.0,5.0,5.3,10.0,15.0,50.0,-3.99512292988642
250.0,5.0,5.3,11.0,15.0,50.0,-3.70837917650137
250.0,5.0,5.3,12.0,15.0,50.0,-3.59558671859101
250.0,5.0,5.3,13.0,15.0,50.0,-3.58176436639791
250.0,5.0,5.3,14.0,15.0,50.0,-3.16067934341247
250.0,5.0,5.3,15.0,15.0,50.0,-3.43963831677658
250.0,5.0,5.5,5.0,15.0,50.0,-4.59585533781159
250.0,5.0,5.7,5.0,15.0,50.0,-4.68453572453609
250.0,5.0,5.75,5.0,15.0,50.0,-4.65097805002312
250.0,5.0,6.0,5.0,15.0,50.0,-4.7872714301305
250.0,5.0,6.5,5.0,15.0,50.0,-4.68342591124161
250.0,5.0,7.0,5.0,15.0,50.0,-4.7981127958713
250.0,5.0,7.5,5.0,15.0,50.0,-4.65882503841953
250.0,5.0,8.0,1.0,15.0,50.0,-4.08463927334011
250.0,5.0,8.0,2.0,15.0,50.0,-4.68628683781693
250.0,5.0,8.0,3.0,15.0,50.0,-4.49857989750063
250.0,5.0,8.0,4.0,15.0,50.0,-5.09873221371665
250.0,5.0,8.0,5.0,15.0,50.0,-4.40107309467541
250.0,5.0,8.0,6.0,15.0,50.0,-4.49394841314058
250.0,5.0,8.0,7.0,15.0,50.0,-4.02868012720991
250.0,5.0,8.0,8.0,15.0,50.0,-4.15492072370665
250.0,5.0,8.0,9.0,15.0,50.0,-3.76636974424315
250.0,5.0,8.0,10.0,15.0,50.0,-3.54669166316477
250.0,5.0,8.0,11.0,15.0,50.0,-3.34276769942127
250.0,5.0,8.0,12.0,15.0,50.0,-3.25812687770456
250.0,5.0,8.0,13.0,15.0,50.0,-3.15710145848509
250.0,5.0,8.0,14.0,15.0,50.0,-3.01588863655122
250.0,5.0,8.0,15.0,15.0,50.0,-2.81281371488896
250.0,5.0,8.5,5.0,15.0,50.0,-4.49585903481543
250.0,5.0,9.0,5.0,15.0,50.0,-4.34649491757798
250.0,5.0,9.5,5.0,15.0,50.0,-4.36295430629324
250.0,5.0,10.0,5.0,15.0,50.0,-4.27498936327526
250.0,5.0,10.5,5.0,15.0,50.0,-4.20268744287985
250.0,5.0,11.0,5.0,15.0,50.0,-4.3411928080429
250.0,5.0,11.5,5.0,15.0,50.0,-4.09718198542957
250.0,5.0,12.0,5.0,15.0,50.0,-4.1777677798216
250.0,5.0,12.5,5.0,15.0,50.0,-6.07400048444261
250.0,5.0,13.0,5.0,15.0,50.0,-4.08103845848914
250.0,5.0,13.45,5.0,15.0,50.0,-4.01358261466752
250.0,5.0,13.5,5.0,15.0,50.0,-4.06763759569181
250.0,5.0,13.9,5.0,15.0,50.0,-3.99498171768686
250.0,5.0,14.0,5.0,15.0,50.0,-3.97987477453235
250.0,5.0,14.1,5.0,15.0,50.0,-3.99126442183704
250.0,5.0,14.12,5.0,15.0,50.0,-5.03260018087946
250.0,5.0,14.14,5.0,15.0,50.0,-5.21329617045864
250.0,5.0,14.16,5.0,15.0,50.0,-3.9918039568323
250.0,5.0,14.18,5.0,15.0,50.0,-3.99262808009834
250.0,5.0,14.2,5.0,15.0,50.0,-3.9948028888622
250.0,5.0,14.22,5.0,15.0,50.0,-5.80208936781614
250.0,5.0,14.24,5.0,15.0,50.0,-3.98891341031626
250.0,5.0,14.248,5.0,15.0,50.0,-3.98510582983194
250.0,5.0,14.25,5.0,15.0,50.0,-3.99708445626467
250.0,5.0,14.256,5.0,15.0,50.0,-3.93978909846077
250.0,5.0,14.26,5.0,15.0,50.0,-3.98654634893945
250.0,5.0,14.261,5.0,15.0,50.0,-3.93671366703009
250.0,5.0,14.262,5.0,15.0,50.0,-3.97786868868457
250.0,5.0,14.263,5.0,15.0,50.0,-3.94179318651691
250.0,5.0,14.264,1.0,15.0,50.0,-4.47226014605678
250.0,5.0,14.264,2.0,15.0,50.0,-4.90156408765127
250.0,5.0,14.264,2.1,15.0,50.0,-5.21840359864929
250.0,5.0,14.264,2.5,15.0,50.0,-4.86584519571038
250.0,5.0,14.264,2.7,15.0,50.0,-4.85887846408402
250.0,5.0,14.264,3.0,15.0,50.0,-5.11395668670581
250.0,5.0,14.264,4.0,15.0,50.0,-6.01813668293813
250.0,5.0,14.264,4.1,15.0,50.0,-4.04669387828714
250.0,5.0,14.264,4.3,15.0,50.0,-4.08208912080801
250.0,5.0,14.264,4.5,15.0,50.0,-4.09084425009343
250.0,5.0,14.264,4.7,15.0,50.0,-3.98418218140905
250.0,5.0,14.264,4.9,15.0,50.0,-4.00382696134566
250.0,5.0,14.264,5.0,15.0,50.0,-4.00177130672503
250.0,5.0,14.264,5.1,15.0,50.0,-3.91853619341535
250.0,5.0,14.264,5.3,15.0,50.0,-3.93576949231868
250.0,5.0,14.264,5.5,15.0,50.0,-3.96393767506378
250.0,5.0,14.264,5.7,15.0,50.0,-3.93928196084345
250.0,5.0,14.264,5.9,15.0,50.0,-3.89145146720223
